English,Kana,Kanji,Lessons,Tags
High School Student,こうこうせい,,Lesson_1,IsOccupation 
Computer,コンピューター,,Lesson_1,IsMajor IsObject
Britain,イギリス,,Lesson_1,IsCountry IsLocation
India,インド,,Lesson_1,IsCountry IsLocation
House Wife,しゅふ,,Lesson_1,IsOccupation 
Docter,いしゃ,,Lesson_1,IsOccupation 
Asian Studies,アジアけんきゅう,,Lesson_1,IsMajor
Family,かぞく,,Lesson_1,
Biology,せいぶつがく,,Lesson_1,IsMajor
Nurse,かんごし,,Lesson_1,IsOccupation
Literature,ぶんがく,,Lesson_1,IsMajor
Politics,せいじ,,Lesson_1,IsMajor
Lawyer,べんごし,,Lesson_1,IsOccupation
Myself,わたし,,Lesson_1,
... O'Clock,～じ,,Lesson_1,IsTime
Telephone,でんわ,,Lesson_1,IsObject
Number,ばんごう,,Lesson_1,
Half Past 2 O'Clock,にじはん,,Lesson_1,IsTime
... Year Student,～ねんせい,,Lesson_1,IsCounter
International Student,りゅうがくせい,,Lesson_1,IsOccupation
Major,せんこう,,Lesson_1,
PM,ごご,,Lesson_1,IsTime
Number ...,～ばん,,Lesson_1,
Yes,はい,,Lesson_1,
AM,ごぜん,,Lesson_1,IsTime
That is right,そうです,,Lesson_1,
Is that so,そうですか,,Lesson_1,
Half Past,はん,,Lesson_1,IsTime
... Years Old,～さい,,Lesson_1,IsCounter
Student,がくせい,,Lesson_1,IsOccupation
... Language,～ご,,Lesson_1,
College Student,だいがくせい,,Lesson_1,IsOccupation
Name,なまえ,,Lesson_1,
What,なん,,Lesson_1,
Um...,あのう,,Lesson_1,
Friend,ともだち,,Lesson_1,
Mr. / Mrs.,～さん,,Lesson_1,
... People,～じん,,Lesson_1,
Now,いま,,Lesson_1,IsTime
Teacher,せんせい,,Lesson_1,IsOccupation
College,だいがく,,Lesson_1,IsLocation
Younger Brother,おとうと,,Lesson_1,
Engineering,こうがく,,Lesson_1,IsMajor
History,れきし,,Lesson_1,IsMajor
Economics,けえざい,,Lesson_1,IsMajor
China,ちゅうごく,,Lesson_1,IsCountry IsLocation
International Relations,こくさいかんけい,,Lesson_1,IsMajor
Younger Sister,いもうと,,Lesson_1,
Business,ビジネス,,Lesson_1,IsMajor
Mother,おかあさん,,Lesson_1,
USA,アメリカ,,Lesson_1,IsCountry IsLocation
Older Brother,おにいさん,,Lesson_1,
Country,くに,,Lesson_1,
Egypt,エジプト,,Lesson_1,IsCountry IsLocation
Korea,かんこく,,Lesson_1,IsCountry IsLocation
Older Sister,おねえさん,,Lesson_1,
